"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,840.50","1,856.60","1,836.50","1,833.75","1,847.00","1,850.35","1,850.10","1,918.90","1,100.00",350403,"648,279,913.50",14398
"28-Jan-2022","EQ","1,859.00","1,859.00","1,829.35","1,851.15","1,833.15","1,833.75","1,843.39","1,918.90","1,100.00",796934,"1,469,056,358.65",27072
"27-Jan-2022","EQ","1,849.00","1,860.00","1,842.05","1,854.45","1,852.00","1,851.15","1,852.33","1,918.90","1,100.00",601035,"1,113,316,156.75",13050
"25-Jan-2022","EQ","1,850.00","1,862.00","1,840.50","1,855.60","1,857.60","1,854.45","1,852.58","1,918.90","1,100.00",354933,"657,540,506.95",14158
"24-Jan-2022","EQ","1,869.70","1,873.00","1,836.50","1,868.60","1,855.00","1,855.60","1,852.29","1,918.90","1,100.00",776468,"1,438,242,237.80",24865
"21-Jan-2022","EQ","1,859.50","1,873.30","1,852.00","1,859.75","1,865.15","1,868.60","1,860.09","1,918.90","1,100.00",549680,"1,022,454,170.40",11890
"20-Jan-2022","EQ","1,865.00","1,868.00","1,854.00","1,866.50","1,861.00","1,859.75","1,860.21","1,918.90","1,100.00",339444,"631,438,231.00",9627
"19-Jan-2022","EQ","1,860.00","1,869.85","1,855.50","1,860.05","1,863.50","1,866.50","1,862.78","1,918.90","1,100.00",311540,"580,329,043.40",17647
"18-Jan-2022","EQ","1,865.80","1,882.55","1,856.15","1,865.45","1,860.75","1,860.05","1,869.09","1,918.90","1,100.00",437497,"817,721,085.00",11672
"17-Jan-2022","EQ","1,869.30","1,878.15","1,856.50","1,869.30","1,863.45","1,865.45","1,864.25","1,918.90","1,100.00",356648,"664,879,734.40",9642
"14-Jan-2022","EQ","1,857.00","1,873.85","1,851.00","1,858.50","1,867.20","1,869.30","1,861.94","1,918.90","1,100.00",719659,"1,339,960,436.85",17076
"13-Jan-2022","EQ","1,870.00","1,872.00","1,850.15","1,864.95","1,856.15","1,858.50","1,855.75","1,918.90","1,100.00",902887,"1,675,533,966.90",25488
"12-Jan-2022","EQ","1,858.00","1,868.80","1,847.00","1,854.90","1,865.75","1,864.95","1,854.59","1,918.90","1,100.00",783151,"1,452,423,786.60",28384
"11-Jan-2022","EQ","1,865.00","1,871.65","1,848.85","1,865.80","1,854.50","1,854.90","1,855.19","1,918.90","1,100.00",920042,"1,706,856,249.35",28981
"10-Jan-2022","EQ","1,877.00","1,878.00","1,859.10","1,877.80","1,866.20","1,865.80","1,866.62","1,918.90","1,100.00",568492,"1,061,159,466.30",33296
"07-Jan-2022","EQ","1,897.00","1,897.00","1,870.35","1,883.30","1,876.00","1,877.80","1,878.67","1,918.90","1,100.00",580896,"1,091,311,996.95",27005
"06-Jan-2022","EQ","1,885.00","1,891.05","1,872.20","1,882.10","1,885.00","1,883.30","1,880.50","1,918.90","1,100.00",645807,"1,214,441,308.40",21930
"05-Jan-2022","EQ","1,894.00","1,896.45","1,880.00","1,893.35","1,882.00","1,882.10","1,884.77","1,918.90","1,100.00",561073,"1,057,491,908.45",24458
"04-Jan-2022","EQ","1,904.10","1,907.90","1,884.40","1,901.90","1,894.55","1,893.35","1,893.66","1,918.90","1,100.00",751200,"1,422,519,387.60",18508
"03-Jan-2022","EQ","1,899.10","1,914.85","1,895.00","1,908.70","1,908.05","1,901.90","1,903.77","1,918.90","1,100.00",729761,"1,389,296,048.15",19002
"31-Dec-2021","EQ","1,912.00","1,918.90","1,897.00","1,908.85","1,904.00","1,908.70","1,908.05","1,918.90","1,100.00",595528,"1,136,294,670.30",23367
"30-Dec-2021","EQ","1,901.00","1,917.75","1,895.20","1,896.50","1,910.05","1,908.85","1,907.02","1,917.75","1,100.00",1461662,"2,787,417,146.45",42561
"29-Dec-2021","EQ","1,880.00","1,910.00","1,874.00","1,879.50","1,896.00","1,896.50","1,897.83","1,910.00","1,100.00",1599852,"3,036,252,967.35",36066
"28-Dec-2021","EQ","1,870.05","1,883.95","1,865.00","1,866.40","1,881.00","1,879.50","1,876.00","1,897.95","1,100.00",581504,"1,090,901,824.45",12334
"27-Dec-2021","EQ","1,857.90","1,872.30","1,850.25","1,859.80","1,870.00","1,866.40","1,865.38","1,897.95","1,100.00",491207,"916,289,864.25",8938
"24-Dec-2021","EQ","1,860.05","1,864.65","1,850.10","1,855.90","1,860.70","1,859.80","1,857.44","1,897.95","1,100.00",389031,"722,600,038.85",6417
"23-Dec-2021","EQ","1,848.00","1,862.00","1,842.15","1,839.05","1,858.00","1,855.90","1,853.30","1,897.95","1,100.00",420242,"778,832,479.50",9273
"22-Dec-2021","EQ","1,836.90","1,844.00","1,829.00","1,827.10","1,837.00","1,839.05","1,837.90","1,897.95","1,100.00",292901,"538,323,793.15",11028
"21-Dec-2021","EQ","1,822.65","1,844.00","1,815.15","1,813.60","1,830.90","1,827.10","1,831.05","1,897.95","1,100.00",870102,"1,593,197,456.40",27395
"20-Dec-2021","EQ","1,805.00","1,827.40","1,791.10","1,815.10","1,810.00","1,813.60","1,808.27","1,897.95","1,100.00",1090372,"1,971,687,727.00",29269
"17-Dec-2021","EQ","1,832.00","1,844.45","1,805.50","1,830.65","1,815.00","1,815.10","1,820.64","1,897.95","1,100.00",1378417,"2,509,599,112.95",25861
"16-Dec-2021","EQ","1,851.90","1,854.20","1,826.10","1,844.50","1,833.30","1,830.65","1,836.75","1,897.95","1,100.00",491217,"902,244,801.90",18533
"15-Dec-2021","EQ","1,853.00","1,858.90","1,841.00","1,851.35","1,843.85","1,844.50","1,848.87","1,897.95","1,100.00",405461,"749,643,497.10",13465
"14-Dec-2021","EQ","1,854.80","1,863.95","1,845.00","1,857.50","1,852.70","1,851.35","1,852.24","1,897.95","1,100.00",416745,"771,911,564.00",12572
"13-Dec-2021","EQ","1,869.00","1,873.45","1,852.00","1,868.00","1,856.00","1,857.50","1,860.21","1,897.95","1,100.00",515245,"958,463,163.80",15530
"10-Dec-2021","EQ","1,879.95","1,879.95","1,855.20","1,878.60","1,866.00","1,868.00","1,866.02","1,897.95","1,100.00",757187,"1,412,929,175.40",22464
"09-Dec-2021","EQ","1,875.00","1,897.95","1,865.55","1,867.75","1,879.95","1,878.60","1,885.57","1,897.95","1,100.00",1499650,"2,827,693,969.75",41165
"08-Dec-2021","EQ","1,853.00","1,885.85","1,853.00","1,851.60","1,870.80","1,867.75","1,868.69","1,889.75","1,100.00",909742,"1,700,029,197.00",34967
"07-Dec-2021","EQ","1,852.00","1,863.65","1,840.90","1,846.15","1,850.00","1,851.60","1,851.62","1,889.75","1,100.00",684639,"1,267,689,187.65",23875
"06-Dec-2021","EQ","1,860.00","1,865.00","1,843.50","1,866.10","1,845.75","1,846.15","1,853.87","1,889.75","1,100.00",674398,"1,250,245,292.10",17639
"03-Dec-2021","EQ","1,855.90","1,872.00","1,849.25","1,848.95","1,861.35","1,866.10","1,860.30","1,889.75","1,100.00",1196217,"2,225,320,752.60",29416
"02-Dec-2021","EQ","1,848.00","1,862.05","1,836.10","1,848.40","1,848.90","1,848.95","1,847.99","1,889.75","1,100.00",772046,"1,426,733,743.15",23146
"01-Dec-2021","EQ","1,853.00","1,864.40","1,831.30","1,846.30","1,845.55","1,848.40","1,849.83","1,889.75","1,100.00",1092248,"2,020,470,303.45",33778
"30-Nov-2021","EQ","1,856.00","1,880.00","1,836.85","1,858.85","1,850.05","1,846.30","1,858.51","1,889.75","1,100.00",1280247,"2,379,347,351.70",41037
"29-Nov-2021","EQ","1,875.00","1,879.85","1,847.70","1,869.40","1,855.00","1,858.85","1,865.73","1,889.75","1,100.00",1310185,"2,444,457,175.00",58148
"26-Nov-2021","EQ","1,804.10","1,889.75","1,803.00","1,813.85","1,865.00","1,869.40","1,855.45","1,889.75","1,100.00",4903273,"9,097,757,222.55",102732
"25-Nov-2021","EQ","1,810.00","1,834.65","1,802.00","1,802.00","1,819.70","1,813.85","1,812.62","1,834.65","1,100.00",3117728,"5,651,241,786.95",52884
"24-Nov-2021","EQ","1,814.90","1,831.00","1,796.25","1,802.55","1,810.00","1,802.00","1,812.95","1,831.30","1,100.00",1744444,"3,162,584,343.65",41568
"23-Nov-2021","EQ","1,790.10","1,826.60","1,785.05","1,802.75","1,808.00","1,802.55","1,808.68","1,831.30","1,100.00",2018204,"3,650,280,450.00",60961
"22-Nov-2021","EQ","1,811.00","1,831.30","1,755.15","1,802.85","1,801.85","1,802.75","1,790.91","1,831.30","1,100.00",4234114,"7,582,924,179.45",134400
"18-Nov-2021","EQ","1,640.00","1,824.95","1,612.50","1,630.95","1,796.00","1,802.85","1,747.00","1,824.95","1,100.00",19036475,"33,256,755,266.00",421607
"17-Nov-2021","EQ","1,633.00","1,665.00","1,588.80","1,629.30","1,641.00","1,630.95","1,629.38","1,666.35","1,100.00",3997327,"6,513,163,282.65",105515
"16-Nov-2021","EQ","1,650.00","1,659.00","1,601.00","1,640.50","1,625.20","1,629.30","1,632.15","1,666.35","1,100.00",2879547,"4,699,858,121.35",81405
"15-Nov-2021","EQ","1,589.00","1,649.90","1,572.30","1,580.75","1,641.00","1,640.50","1,622.98","1,666.35","1,100.00",3033537,"4,923,359,896.15",83407
"12-Nov-2021","EQ","1,535.00","1,594.00","1,530.00","1,521.30","1,580.00","1,580.75","1,567.94","1,666.35","1,100.00",2365813,"3,709,464,627.60",60030
"11-Nov-2021","EQ","1,545.00","1,547.00","1,456.00","1,543.10","1,529.85","1,521.30","1,492.74","1,666.35","1,100.00",3281771,"4,898,832,346.40",107960
"10-Nov-2021","EQ","1,560.00","1,596.00","1,520.75","1,570.75","1,538.45","1,543.10","1,563.88","1,666.35","1,100.00",1568558,"2,453,037,353.90",71683
"09-Nov-2021","EQ","1,515.00","1,579.85","1,515.00","1,505.95","1,577.00","1,570.75","1,551.39","1,666.35","1,100.00",1753403,"2,720,205,706.95",57421
"08-Nov-2021","EQ","1,540.80","1,545.75","1,441.10","1,528.10","1,504.00","1,505.95","1,487.83","1,666.35","1,100.00",1304830,"1,941,362,451.80",47373
"04-Nov-2021","EQ","1,524.50","1,534.90","1,510.50","1,496.90","1,528.30","1,528.10","1,527.49","1,666.35","1,100.00",220754,"337,200,603.00",7073
"03-Nov-2021","EQ","1,565.00","1,565.00","1,476.15","1,557.20","1,500.00","1,496.90","1,513.68","1,666.35","1,100.00",1961985,"2,969,811,897.75",70850
"02-Nov-2021","EQ","1,553.00","1,593.50","1,532.50","1,545.60","1,553.40","1,557.20","1,570.17","1,666.35","1,100.00",1589334,"2,495,531,147.20",70175
"01-Nov-2021","EQ","1,566.10","1,666.35","1,491.85","1,569.40","1,552.00","1,545.60","1,548.03","1,666.35","1,100.00",3394040,"5,254,090,628.20",123022
"29-Oct-2021","EQ","1,530.00","1,588.00","1,480.00","1,532.35","1,580.35","1,569.40","1,545.79","1,588.00","1,100.00",2651006,"4,097,911,605.25",91769
"28-Oct-2021","EQ","1,550.00","1,563.75","1,510.00","1,543.30","1,525.05","1,532.35","1,537.20","1,579.95","1,100.00",994523,"1,528,776,772.55",32479
"27-Oct-2021","EQ","1,545.00","1,579.95","1,533.80","1,544.45","1,551.40","1,543.30","1,557.40","1,579.95","1,100.00",2521284,"3,926,635,372.95",64556
"26-Oct-2021","EQ","1,495.00","1,549.65","1,486.25","1,495.10","1,548.00","1,544.45","1,527.38","1,571.90","1,100.00",1364333,"2,083,852,793.40",41612
"25-Oct-2021","EQ","1,475.00","1,508.00","1,434.00","1,463.30","1,494.75","1,495.10","1,479.89","1,571.90","1,100.00",900150,"1,332,121,273.45",28414
"22-Oct-2021","EQ","1,475.00","1,510.35","1,452.50","1,476.80","1,457.05","1,463.30","1,484.86","1,571.90","1,100.00",1242631,"1,845,132,573.65",44147
"21-Oct-2021","EQ","1,445.00","1,485.00","1,425.15","1,438.35","1,472.00","1,476.80","1,459.73","1,571.90","1,100.00",944311,"1,378,440,354.85",30141
"20-Oct-2021","EQ","1,491.00","1,505.00","1,422.00","1,486.40","1,440.95","1,438.35","1,460.30","1,571.90","1,100.00",1645913,"2,403,529,647.75",40693
"19-Oct-2021","EQ","1,551.95","1,555.00","1,467.60","1,551.25","1,491.00","1,486.40","1,516.28","1,571.90","1,100.00",1231042,"1,866,606,663.45",40239
"18-Oct-2021","EQ","1,530.00","1,566.30","1,520.95","1,520.95","1,550.20","1,551.25","1,549.59","1,571.90","1,100.00",1394214,"2,160,462,271.05",56344
"14-Oct-2021","EQ","1,524.00","1,546.00","1,508.25","1,520.20","1,517.70","1,520.95","1,527.42","1,571.90","1,100.00",677408,"1,034,688,811.05",26157
"13-Oct-2021","EQ","1,522.00","1,558.00","1,512.20","1,516.65","1,523.00","1,520.20","1,532.86","1,571.90","1,100.00",1231332,"1,887,463,480.45",42074
